Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,Wiki Fandom Descriptions,Wikipedia Episode Descriptions
2,18,Captain Peralta,8/3/15,7.8,2480,"Jake's mainly absentee father, Roger (guest star Bradley Whitford), comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina and Rosa with an impossible brain teaser in exchange for Beyoncé tickets.","Jake's mainly absentee father, Roger comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina and Rosa with an impossible brain teaser in exchange for Beyoncé tickets.
","Jake's father, an air-line pilot, comes to visit and it is revealed that he is battling a drug-smuggling charge in Canada. Jake, Boyle and a French-fluent Scully travel to Quebec to investigate the situation. Captain Holt gives the rest of the detectives a brain-teaser that not even he can solve."
2,19,Sabotage,15/03/2015,7.9,2453,Amy and Rosa investigate Jake's claim that somebody is trying to sabotage him and get him fired. Boyle partners up with Hitchcock and Scully to solve a case. Captain Holt refuses to lie with Terry about attending Gina's dance performance.,"After a streak of really bad luck, Jake thinks he's being sabotaged by an enemy. Holt assigns Amy and Rosa to investigate the truth. Meanwhile, Holt hurts Gina's feelings by calling her dance troupe a ""hobby,"" and Charles is stuck working a case with Scully and Hitchock in Jake's absence.
","Jake becomes the victim of a series of unfortunate events, including a failed drug test that results in his suspension, and suspects that someone is deliberately targeting him, who turns out to be Sophia's ex-boss who wants revenge on Jake for ruining his life. Rosa and Amy are assigned to investigate. Holt and Terry must find a way to reassure Gina that her dance troupe is important after missing one of her performances. Meanwhile, with Jake suspended, Boyle gets a helping hand on his case from Scully and Hitchcock, who might be more competent than they have led others to believe."
2,20,AC/DC,26/04/2015,7.7,2433,"Jake is badly injured trying to chase a suspect, but he refuses to take time off from the job. Holt and Rosa have an awkward dinner date with their significant others, so they invite Amy and Gina along as well.","After Jake injures himself on a case, Terry forces him to take time off and rest, something Jake doesn’t know how to do. Across town, Holt and Rosa try to avoid intimate conversation during a double-date with their significant others.  
","Jake injures himself on a case but he still tries to catch the perpetrator against Terry's advice. He tricks Charles to go with him on a vacation but takes him to a motel instead where they try to pursue the criminal. Terry tracks them down and tries to take them home but Jake pursues the criminal and gets hit by a car, injuring himself severely. Rosa, Amy and Gina are invited to Captain Holt's house for dinner. But things go awry and Amy and Gina end up getting drunk."
2,21,Det. Dave Majors,3/5/15,8,2470,"Jake is jealous when a detective from another precinct wants to ask Amy out on a date. Linetti and Boyle try to keep Jeffords from taking a job with a private firm, but captain Holt seems to be pushing him out the door.","Jake is excited to work a case with the best detective in the NYPD, Detective Majors, until Majors shares his intentions to ask Amy out on a date. Meanwhile, Charles and Gina try to convince Terry to stay at the Nine-Nine when he considers accepting an offer to work at a private security firm.
","Both Jake and Amy are assigned to a case which is being handled by a veteran detective from major crimes, Detective Majors. After working a day on the case, he takes Jake to ""Cop Only"" bar where he tells him that he plans to ask Amy out after the case is wrapped up. Jake tries to ask Amy out before the case but he fails. Back at the precinct, a manager from a private security firm comes to talk to Terry about the job application. Charles and Gina realize that Terry is planning to leave the police force and they try to persuade him to stay."
2,22,The Chopper,10/5/15,8.6,2594,"When Wuntch lets Jake work his dream case, Holt worries she is setting them up to fail. Meanwhile, Terry hopes to get his girls off the wait list for a magnet school by hosting a field trip.","When Wuntch lets Jake work his dream case, Holt worries she is setting them up to fail. Meanwhile, Terry hopes to get his girls into a magnet school by hosting a field trip.
","Jake and Boyle are assigned to a high-profile bank robber case with Wuntch's full support. Holt becomes extremely suspicious of Wuntch's motives and gets involved in the case himself to stop Jake from messing it up. Back at the precinct, Gina, Amy and Rosa help Terry in conducting a field trip for children and end up traumatizing them."
2,23,Johnny and Dora,17/05/2015,9.1,3448,"When Jake and Amy go under cover to catch an identity thief, the investigation brings them closer.","Jake and Amy go undercover to catch Brooklyn’s most notorious identity thief, Micheal Augustine and the case brings them closer together – very close. Meanwhile, the entire precinct is caught off-guard when one of their own says goodbye to the Nine-Nine. 
","Jake and Amy have to go undercover to catch an identity thief, an assignment that brings them uncomfortably closer, but they finally get together after Holt's sudden departure by kissing in the filing room. Meanwhile, Captain Holt searches for a letter to give him the upper hand over Wuntch and prevent his upcoming promotion, which unfortunately doesn't work and he ends up having to say an emotional goodbye to the squad."
3,1,New Captain,7/1/16,8.3,2762,"Nobody in the precinct likes the new captain, Wuntch continues to humiliate Holt as he takes his new job in Public Relations, and Jake and Amy try to figure out what to do next after their kiss.","After Holt is transferred to the NYPD Department of Public Relations, the new captain’s arrival causes the precinct to dissolve into chaos, despite Terry’s best efforts to keep everyone on point. Meanwhile, Jake and Amy face the aftermath of their “for reals” kiss.
","Efficiency-obsessed Cpt. Seth Dozerman arrives as the new captain. Jake and Amy explore the repercussions of revealing their feelings at the end of the previous season. Due to his genetic heart condition, Captain Dozerman suffers a heart attack after seeing Amy and Jake kiss in the Evidence Room and he dies. Cpt. Holt & Gina start work at the PR dept and get forced into trivial matters by Chief Wuntch. Vulture is instated as Captain replacing Dozerman at the Nine-Nine."
3,2,The Funeral,7/1/16,7.7,2482,"The Nine-Nine gets another personnel change that could put Jake and Amy's budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink his affection for a fellow officer.","The Nine-Nine gets another personnel change that could put Jake and Amy’s budding relationship at risk. Meanwhile, Terry assists Holt with an important public relations matter, and Rosa and Gina try to convince Charles to rethink his affection for a fellow officer.
","The Vulture becomes the new captain of the precinct after Dozerman's death and threatens to jeopardize Jake and Amy's nascent romance. Meanwhile, Terry helps Holt with a PR problem; and Rosa and Gina urge Charles to abandon his crush on a colleague."
3,3,Boyle's Hunch,14/01/2016,7.8,2413,"Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with inter-precinct theft and Holt seeks Amy's help with an image campaign.","Jake thinks Boyle might have met his soulmate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with inter-precinct theft and Holt seeks Amy’s help with an image campaign.
","Jake thinks Boyle might have met his soul-mate in Genevieve, an art gallery owner, and he tries to help set them up. Meanwhile, Rosa deals with intra-precinct theft and Holt seeks Amy's help with an image campaign."
3,4,The Oolong Slayer,14/01/2016,8.5,2593,Jake and Holt both get in trouble when they work on a serial killer case together in secret. The Vulture asks Amy and Rosa set up his birthday party. Boyle introduces Terry to a delicious new snack.,"When investigating a serial killer, Jake enlists Holt’s help in an attempt to solve the case off the radar. At the precinct, Rosa and Amy are forced to deal with demands from an old adversary and Terry discovers a new obsession.[1]
","While investigating a serial killer, Jake enlists Holt's help in an attempt to solve the case off the radar. At the precinct, Rosa and Amy are forced to plan the Vulture's birthday party and Charles tries to help Terry with his new-found addiction. After Jake and Holt successfully bring down the Oolong Slayer, Jake gives the credit away to help Holt regain his position as captain of the precinct."
3,5,Halloween III,21/01/2016,9,3065,"For this year's Halloween challenge, Jake and Holt divide the precinct into teams as they try to see who can steal a crown held under lock and key in the interrogation room.","The third installment of Captain Holt and Jake’s Halloween heist culminates with a tie-breaking competition to claim the title of “amazing detective slash genius.” This year, Jake and Holt split the squad into two teams to help them win.[1]
","The third installment of Captain Holt and Jake's Halloween heist, tied at one win apiece, enters a tie-breaking competition to claim the title of ""amazing detective/genius."" This year, Jake and Holt split the squad into two teams to help them win, both of them excluding Amy. Amy proves who the most ""amazing detective/genius"" really is by winning the heist."
3,6,Into the Woods,28/01/2016,7.8,2374,Jake and Charles talk Terry into going camping; Rosa receives relationship advice from Holt; Gina helps Amy prepare for a presentation.,"Jake and Charles talk Terry into going camping. Rosa receives relationship advice from Holt, while Gina helps Amy prepare for a presentation.
","Jake and Charles take Terry on a camping trip to help him relieve stress. Amy enlists the help of Gina in trying to convince the NYPD to purchase a product she invented as a child. Meanwhile, Holt tries to help Rosa break up with Marcus."
3,7,The Mattress,4/2/16,7.8,2366,"Jake and Amy work together on a case, and wind up arguing over Jake's old, worn-out mattress. Meanwhile, Boyle scratches Holt's prized car, and the teenage boy Rosa sponsors as a ""big brother"" is in trouble with the law.","Jake and Amy convince the Captain to let them work a case together involving a new street drug, but their new relationship gets in the way. Meanwhile, at the precinct, Charles panics when he realizes he's damaged one of Holt's prized possessions and Terry teaches Rosa a lesson in discipline.[1]
","Amy blames Jake's old mattress for her back pain, and Jake is too cheap to buy a new one. After they convince Holt they can still work together while being in a relationship, the topic of the mattress causes them to have a lovers' spat in the middle of their next assigned case. Elsewhere, Charles scratches a classic sports car that Holt has identified as a precious family heirloom, while Rosa deals with a teenage boy she once helped straighten out when he returns to the precinct after a repeat offense."
3,8,Ava,11/2/16,8.2,2406,"Jake entertains Terry's pregnant wife, Sharon, until her water breaks sooner than expected and crisis ensues at the precinct.","Terry leaves Jake in charge of entertaining his pregnant wife, Sharon, while he and Rosa head to Rikers to learn more about the Douglass Street murders. But when Sharon's water breaks sooner than expected, crisis ensues at the precinct. Meanwhile, due to an internet outage, Amy and Charles must process all the paperwork by hand to avoid the bullpen from overflowing with perps and Holt is forced to confront his ex-boyfriend, Frederick.
","With Terry off solving a murder case, Jake offers to watch over Sharon, Terry's pregnant wife. He panics when her water breaks, and attempts to solve the problem without going to the hospital, under her request. It doesn't help him when the precinct is in a ruckus due to the internet going down."
3,9,The Swedes,18/02/2016,7.8,2437,"Jake and Rosa investigate a case in which they have to assist InterPol. Amy and Terry team up to help Gina study for an exam, while Captain Holt recruits Charles to double with him in a squash tournament.","In an attempt to solve an international case, Jake and Rosa are forced to work with a pair of Swedish cops and things get very competitive, very quickly. Meanwhile, Amy and Terry offer to help Gina prepare for a big test and Holt enlists Charles to sub in as his squash partner for an annual tournament.
","Jake and Rosa compete with a pair of Swedish detectives, Soren & Agneta, on a jewelry theft case, causing them to re-examine their relationship as partners. Holt asks Charles to be his partner in asquashchampionship when Kevin is out of town, but Charles fears his extreme competitiveness will surface. Meanwhile, Amy and Terry try to help Gina study for her Astronomy test, with Terry even bringing in a friend from his gym,Neil deGrasse Tyson, to help."
3,10,Yippie Kayak,25/02/2016,8.8,2730,"Jake, Charles and Gina get into trouble while doing last-minute Christmas shopping, Terry tries to make it through the holidays without a call from the precinct, and Amy takes part in a ""Polar Swim"" with Holt and Diaz.","Jake, Charles and Gina are involved in a real-life “Die Hard” situation while off-duty on Christmas Eve, and Terry must leave his family celebration to try to save his squad. Meanwhile, Amy tries to prove she’s just as tough as Holt and Rosa.
","Under the ruse of buying a gift for Amy (which is really a gift for Boyle), Jake gets trapped in a store with Boyle and Gina after it closes, and finds there is a robbery being committed by a team of thugs who take employees as hostages. This gives Jake a chance to play out a real-life version of the movieDie Hard. Terry is forced to deal with the Vulture to ensure that the hostage situation is handled properly. Meanwhile, Amy attempts to join Holt and Rosa in a Polar Club swim."
3,11,Hostage Situation,3/3/16,7.7,2320,"Jake helps Charles reclaim the rights to his sperm from his ex-wife, Amy accidentally breaks Terry's nose after asking for a recommendation, and Gina helps interrogate a suspect who refuses to speak to anyone but her.","Charles and Genevieve (guest star Mary Lynn Rajskub) want to take their relationship to a new level, but his ex-wife, Eleanor (guest star Kathryn Hahn), steamrolls their plans. Meanwhile, Amy asks Terry to write a recommendation letter with disastrous results, and Holt and Rosa enlist Gina’s help to solve a case.[1]
","Wanting children, Boyle has to obtain his sperm from a sperm bank, but his ex-wife Eleanor holds the samples hostage as she needs Boyle and Peralta to get her out of a lawsuit. Meanwhile, Holt and Diaz have to rely on Gina to get a suspect to talk, and Santiago needs Jeffords' recommendation for a mentorship program but she accidentally breaks his nose."
3,12,9 Days,10/3/16,8,2472,"Peralta and Holt contract the Mumps while working on a cold case. Terry takes over the precinct in his place, but his ambitious plans ultimately fail. Boyle is sad over the death of his dog, but Diaz doesn't understand it.","Captain Holt and Jake contract the mumps during an investigation and decide to be quarantined together. Rosa tries to help Boyle mourn, and Terry cleans up Hitchcock and Scully's mess.
","When Captain Holt and Jake accidentally contract the mumps during an investigation, they decide to be quarantined together in hopes of still solving the case. Meanwhile, Rosa tries to help Boyle through a mourning process, and Terry is forced to clean up Hitchcock and Scully’s mess."
3,13,The Cruise,17/03/2016,8.1,2378,"Jake comes face-to-face with his old nemesis Doug Judy as he and Amy go on a cruise. Meanwhile, Holt's sister comes to town for a visit, and Diaz and Boyle fight over a rent-controlled apartment which was a crime scene.","Jake and Amy are excited to go on their first real vacation together, but Amy’s perfectly planned cruise ship itinerary is thwarted when they discover an old adversary is on board with them. Meanwhile, Gina and Terry help Captain Holt survive a visit from his sister, Debbie (guest star Niecy Nash), and Charles and Rosa vie for the same apartment.[1]
","Jake and Amy have differing ideas about how they will spend time on their vacation cruise, but their plans are disrupted when they see that Doug Judy (The Pontiac Bandit) is the ship's musical entertainer. Jake wants to seize the chance to finally take down his nemesis, but Judy convinces Jake and Amy to protect him from an assassin that is on the ship. At the precinct, Holt tries to avoid his visiting ""drama queen"" sister, Debbie, while Rosa and Charles take turns trying to schmooze a landlord who had an elderly tenant die in his building, as they both want the old lady's apartment."
3,14,Karen Peralta,24/03/2016,7.6,2249,"On Jake's birthday, his Mom tells him she is back together with his hated father. Meanwhile, Charles has an embarrassing moment with a body cam, and Holt's ""Escape the Room"" exercise for the Nine-Nine does not go as planned.",Description not found,"Amy is nervous about meeting Jake's mother, Karen, for the first time. Her issues become secondary when the two arrive at the house, as Jake learns that his mother and his estranged father, Roger, have gotten back together. Rosa and Charles work a drug bust wearing chest-mounted cameras for the first time, but it leads to embarrassing results for Charles. Meanwhile, Holt has scheduled a team-building exercise at an escape room, but Gina forgot to forward the invitations to the staff. This leads to Holt, Gina, Scully and Hitchcock being the only people to show up for the event."
3,15,The 9-8,31/03/2016,8,2288,"Chaos ensues when the Nine-Nine is forced to share their station with the Nine-Eight precinct while their station is closed, and Charles consequently becomes jealous of Jake's old partner, who is an officer in the Nine-Eight.","The Nine-Nine host the detectives from the Nine-Eight, their neighboring precinct, reuniting Jake with his old partner. Charles is immediately jealous and tries to reclaim his best friend status with Jake. Meanwhile, the rest of the precinct tries to be welcoming to the Nine-Eight, but it doesn’t go as well as they had planned.
","Holt and Jeffords try to keep things together when a plumbing emergency forces the Nine-Eight staff to temporarily take up residence in the Nine-Nine precinct. The incident reunites Jake with Steve, his old pal and former partner from their beat cop days, causing Charles to become jealous when he sees the two hit it off."
3,16,House Mouses,7/4/16,7.8,2198,"When Jake insults Hitchcock and Scully's work ethic in the precinct, they force their way into one of his cases in attempt to prove themselves. Meanwhile, Amy and Gina help Rosa conquer one of her biggest fears, and Holt and Boyle work a celebrity case.","When Jake hears about a celebrity case he shifts his case onto Hitchcock and Scully. Meanwhile, Amy and Gina help Rosa conquer one of her biggest fears, whilst Holt and Charles work the celebrity case whom Holt is a big fan of.
","Jake offers his drug case to Scully and Hitchcock because he wants to work on a case with Charles that Holt says involves a celebrity. But the drug bust turns out to be the much bigger case, while Holt's ""celebrity"" is a concert oboeist that few people would know. Meanwhile, Amy and Gina learn that Rosa never attends blood drives because she is afraid of needles, so the three women resolve to help each other conquer their greatest fears."
3,17,Adrian Pimento,14/04/2016,7.8,2253,"The precinct gains a new detective who has just completed a 12-year undercover job with the mob, Charles' latest mess prompts the janitors to refuse to clean the precinct, and Gina directs a video for Holt.",Description not found,"Detective Adrian Pimento returns to the Nine-Nine after being undercover with notorious mob boss Jimmy ""The Butcher"" Figgis, for 12 years. Despite Pimento exhibiting PTSD-like symptoms, Jake is fascinated and badly wants to work a case with him. Meanwhile, Holt asks Gina to produce a video about the daily workings inside the precinct, while the other detectives deal with a growing garbage issue after Charles ticks off the head of custodians, known as Mean Marge."
3,18,Cheddar,21/04/2016,7.8,2265,"While Holt is en route to visit Kevin in Paris, Jake and Amy inadvertently lose his dog. Meanwhile, Charles has laser eye surgery, and the sexual tension between Rosa and Adrian Pimento disgusts Terry.",Description not found,"Jake and Amy encourage Holt to follow through on his plans to visit Kevin in Paris, because Holt has been noticeably lonely. They offer to house-sit, but their stay is filled with disasters, including Kevin's dog Cheddar running away. Meanwhile, Rosa and Pimento tiptoe around their mutual attraction for one another."
3,19,Terry Kitties,28/04/2016,7.7,2163,"Terry enlists Jake's help in solving a twenty year old case which his old precinct never let him forget, Charles allows Adrian Pimento to stay at his place and soon regrets it, while Amy, Rosa and Holt attend a class together.","In an attempt to prove to his old precinct that he’s not a joke, Terry enlists Jake's help in solving a case from his past. Meanwhile, Adrian Pimento moves in with Charles, with mixed results, and Amy invites herself to a hyper-competitive training exercise with Holt and Rosa.
","Terry tackles an old case with Jake's help to prove his mettle to his old precinct. Meanwhile, Adrian becomes Charles' new roommate; and Amy goes along on a difficult training exercise with Holt and Rosa."
3,20,Paranoia,5/5/16,8.2,2216,"The precinct tries to set up perfect bachelor and bachelorette parties for Adrian and Rosa after they announce their engagement, but Adrian's party falls apart when he tells everyone that someone is stalking him and steals the party bus.","Rosa enlists Jake to help change Terry’s disapproving opinion about her fast-moving relationship with Adrian Pimento. But their love for each other is put on hold when Pimento thinks someone from his past is trying to kill him.
","Rosa and Adrian announce they are getting married...in one week. Rosa's co-maids of honor Amy, Gina and Charles compete to throw her the best bachelorette party. Jake rents a party bus for Adrian's bachelor party with Scully, Hitchcock and a reluctant Terry also participating. Adrian's party goes awry when he claims someone hired by Jimmy Figgis is trying to kill him. It turns out to be true, and the guys fake Adrian's death. The masked man who pays off for the hit is then tailed by the guys, who observe him walking into an FBI building. Adrian goes into hiding, and the Nine-Nine swear to bring down Figgis and his FBI informant."
3,21,Maximum Security,12/5/16,8.1,2209,"With Adrian off the grid and in hiding, the rest of the squad scramble to track down the sister of Figgis, the mobster behind the operation, and throw a fake funeral to flush out Figgis' hit man.","In an attempt to get information on a criminal operation, Amy has to go undercover at a women’s prison and befriend one of the prisoners. Meanwhile back at the precinct, Holt and the team plan a fake funeral in an attempt to catch a hitman.
","The squad fakes Pimento's death and holds a funeral in order to trick the mob's FBI informant. Diaz, disguised as pregnant, must go undercover in a women's prison in Texas to try to get close to Jimmy Figgis' murderous sister Maura, with Jake and Charles posing as her OBGYN doctors. However, Diaz's cover is immediately blown and Amy must take over."
3,22,Bureau,19/05/2016,8.7,2376,"While Amy continues to work on Figgis' sister Maura on the inside, Jake, Rosa and Holt team up with Bob Annderson to track down the FBI mole. Meanwhile, Gina helps Terry work out the culprit behind a press leak.","With Pimento's life still in peril, Captain Holt calls on an old friend in the FBI to help with a seemingly impossible heist. Meanwhile Amy makes a breakthrough while undercover, and Terry and Gina discover an information leak in the Nine-Nine.
","After positively identifying the mob informant within the FBI, Holt, Jake and Rosa make plans to infiltrate FBI headquarters to get the man's files, with Holt bringing in his former partner Bob Annderson for assistance. After successfully getting the needed files out of the FBI building, the group finds the informant has been shot and is near death. Jake leaves Holt and Annderson at the hospital with the comatose informant, only to have Amy relay critical information she got from Maura Figgis in prison: that he was also working with a man named ""Bob Annderson""."
3,23,Greg and Larry,26/05/2016,9,2746,"After a surprising turn of events in the Nine-Nine's attempt to track down Adrian Pimento's hitman, the precinct drops everything when they suspect Holt is in danger.","After a surprising turn of events in the Nine-Nine's attempt to track down Adrian Pimento's hitman, the precinct drops everything when they find that Holt is in danger, with Bob trying to kill him. Amy and Charles leave Texas, where Amy was spying on Jimmy Figgis' sister, Maura, in a maximum security prison. They use Rosa's apartment as a safe house.
","FBI Agent turned traitor Bob Annderson steals the FBI files, murders the informant and takes Captain Holt hostage on the roof of the hospital, but the squad are able to rescue the captain and capture Annderson. The squad hold Annderson in Diaz's apartment while Boyle and Amy rush back from Texas. Eventually the squad trick Annderson into revealing the location of the FBI files, which he had hidden in a safety deposit box. With those files, the Nine-Nine are able to take down Figgis' operation although Figgis himself remains at large. However, while the squad celebrates, Figgis calls Jake's cellphone to threaten his and Holt's lives. The final scene shows Jake and Holt in witness protection, living next door to each other in Coral Palms, Florida, under the names ""Greg"" (Holt) and ""Larry"" (Jake)."
4,1,Coral Palms Pt. 1,20/09/2016,8.2,2502,"Jake and Holt adjust to their new lives in Florida under the Witness Protection Program while Jimmy ""The Butcher"" Figgis remains on the loose.","Jake and Holt remain in Florida, adjusting to their new lives under the Witness Protection Program, while Jimmy ""The Butcher"" Figgis is still on the loose. Their one human link to their regular lives is U.S. Marshall Karen Haas, but their anonymity may be in danger when a video of them goes viral.[1]
","Six months after being threatened to be killed by Figgis, Jake and Holt continue to live in thewitness protectionprogram inFlorida, with the only contact to their previous job being U.S. Marshal Karen Haas. While Holt makes the best of a bad situation, Jake desperately wants to go back home to New York. He secretly tries to work the case in a storage unit but is eventually caught by Holt. Jake tries to blackmail Holt by becoming his boss at The Fun Zone, Holt's temporary place of employment. When a woman records the two of them getting hit by go-karts, they try to get the video back with successful results. They then decide to release the video in order to lure Figgis, and take him down themselves."
4,2,Coral Palms Pt. 2,27/09/2016,8.2,2365,"Jake and Holt plan their attack on Jimmy ""The Butcher"" Figgis, only to end up on the other side of the interrogation table.","After Jimmy ""The Butcher"" Figgis sees Jake and Holt's viral video, the two begin plotting their attack. However, when caught red-handed, they are forced to experience the other side of the interrogation table. Back at the precinct, a questionable new Captain takes over.
","Jake and Holt get arrested by Sheriff Reynolds, a local deputy, after a misunderstanding when they purchase guns to take down Figgis. During this time, Figgis sees the viral video and captures U.S. Marshal Karen Haas. Jake and Holt eventually break out of jail and decide to call the Nine-Nine for help. Meanwhile, C.J., the new captain of the precinct, has a hands-off attitude and lets his subordinates do whatever they want. This begins to bother Amy, and she tries to get the captain to toughen up. Later, when the group confronts the captain, he refuses to give them permission to help Jake and Holt."
4,3,Coral Palms Pt. 3,4/10/16,8.4,2365,"The team goes to Florida to help Jake and Holt take down Jimmy Figgis, but their plan falls through due to an unexpected injury and another interruption from Sheriff Reynolds.","The team makes a road trip to Florida to try to help Jake and Holt take down Figgis. With an unforeseen injury and yet another interruption by Sheriff Reynolds, the plan doesn’t follow through quite like they all had hoped. In the midst of the chaos, Jake and Amy share an awkward reunion.[1]
","Now fugitives, Jake and Holt attempt to avoid the local police while the precinct arrives in Florida from a road trip to help out. They all head to The Fun Zone to lure in Figgis. Meanwhile, Jake and Amy find themselves reconnecting in an awkward way, and Gina tries to help Holt with his injury. Figgis takes Jake's bait and his crew heads with him to The Fun Zone. The precinct takes down the accomplices and Jake ends up facing Figgis. Jake gains the upper hand, but Sheriff Reynolds arrives to arrest Jake and gets shot by Figgis. Figgis holds a gun to Jake's head when Amy arrives, then Amy shoots Jake's leg. Figgis escapes, but is forced to surrender after his car is smashed by Gina and Holt's semi-trailer truck. Back in Brooklyn, the group is scolded by Captain C.J. for going to Florida, and he puts them on the overnight shift as punishment."
4,4,The Night Shift,11/10/16,7.6,2283,"Jake, on his first case back at the precinct, commandeers the vehicle of Jess Day, (from New Girl) who's visiting New York. In the meantime, Holt tries to increase office morale and Amy wants to know why Rosa is taking such long breaks.","As Jake struggles with his first case back at the precinct, he encounters Jess Day (NEW GIRL guest star Zooey Deschanel), who is visiting New York, and enlists her to help him find his suspect. Meanwhile, Holt researches ways to increase office morale and Amy tries to figure out why Rosa keeps taking such long breaks.[1]
","Jake and Charles try to track a thief, but find much less assistance available on the night shift. Meanwhile, Charles wants to spend time with his recently adopted son, Nikolaj, forcing Jake to work without his partner. He eventually finds the perpetrator, but his leg injury gives the perpetrator a head start. Jake ends up commandeeringJessica Day's car (she says ""It's acrossover""), but crashes it into a newspaper stand. The perp gets away, but Jake is happy to be able to bond with Charles' son. Holt also tries to lift the spirits of the precinct after they are put on the night shift, while Amy tries to figure out what Rosa's hiding. She soon learns Rosa is upset because Pimento hasn't yet returned from witness protection.Note: This episode crosses over with theNew Girlepisode ""Homecoming""."
4,5,Halloween IV,18/10/2016,8.8,2673,The squad competes in the annual Halloween heist to win the title of Ultimate Detective Slash Genius.,"It's Halloween in the Nine-Nine, which can only mean one thing: heist time. This year, the squad members pull out all the stops in their quest to win the new defending title of ""Ultimate Detective Slash Genius."" Lines are drawn and plans are made, but there can only be one reigning champion.[1]
","A year after Halloween Part III, Jake, Amy and Holt agree on having another heist to prove once and for all who is in fact the true detective/genius in the 99. Holt begins to thwart Jake plans by choosing Charles for his team, while Rosa fully commits to Amy's antics. Meanwhile, Hitchcock and Scully are given the task to watch Terry, as the crew suspects he has something up his sleeve when he refuses to be a part of the heist. Gina proves who the ""Ultimate Human/Genius"" is."
4,6,Monster in the Closet,15/11/2016,7.9,2178,The Nine-Nine throws a wedding for Pimento and Rosa.,"Pimento and Rosa decide to pick up where they left off and get married, so the whole squad preps a perfect wedding under Amy's careful direction. Pimento enlists Jake and Gina to hunt for his grandmother's ruby earrings for Rosa to wear in the ceremony, but the universe has other plans for them.
","Adrian Pimento shows up in Charles' apartment. He and Rosa try to pick up right where they left off, stating they will get married in 14 hours, which sends wedding planner Amy into high gear. On a long drive with Jake and Gina to retrieve his grandmother's earrings, Adrian keeps seeing signs from the universe that he should not get married, while Rosa gets drunk during the wedding preparation. Adrian and Rosa eventually realize that they have cold feet, and decide to get to know each other better before getting hitched."
4,7,Mr. Santiago,22/11/2016,8.2,2304,"Amy's father, a former cop, comes to Thanksgiving dinner and Jake tries to impress him, leaving Charles on turkey duty. In the meantime, Holt helps Pimento come to terms with the fact that he can no longer be a police officer.","At Amy's intricately planned Thanksgiving dinner, Jake goes ""full Santiago"" (binder and all) in order to impress her father, a former cop. With Jake and Amy's focus elsewhere, Charles is left on turkey duty and Ray helps Pimento cope after learning he can no longer work for the NYPD.
","Amy is hosting Thanksgiving for the Nine-Nine crew and has invited her father, Victor, a retired cop whom Jake has never met. Jake creates a binder with Victor's likes and dislikes in hopes of earning his approval, only to learn that Victor has made a binder on him and does not think Jake is right for Amy. Despite this, the two work together to solve a 20-year-old case of Victor's. Meanwhile, Holt loans Pimento $2,000 to help him get a Private Investigator's license, only to have Pimento gamble it away on a dog show that Holt is watching on TV."
4,8,Skyfire Cycle,29/11/2016,7.8,2180,"Terry meets his lifelong hero, a famous author who's received death threats. In other events, Gina tries to choose the location of the Boyle family vacation and Amy sides with Kevin in his argument with Holt over a math puzzle.","When famous author DC Parlov receives death threats, Jake and Terry take the case, so that Terry can meet his lifelong hero. Back at the precinct, Gina forces her way into the Boyle clan of cousins in an attempt to choose the location of the annual Boyle family vacation. Meanwhile, Holt's anger peaks when Amy chooses Kevin's side in their argument about a math puzzle.[2]
","When D.C. Parlov, author of the popularSkyfire Cyclebook series, starts receiving death threats, Terry, a fan of the books since his teen years, gets a chance to meet his idol. But all is not as it seems, when the threats appear to be an inside job. Meanwhile, the recently returned Kevin argues with Holt over a math puzzle. Amy angers Holt by agreeing with Kevin, while Rosa has a different solution to the problem. Also, Gina tries to turn the Boyle family against Charles and change their annual family vacation locale from Iowa to Aruba."
4,9,The Overmining,6/12/16,8,2145,Jake and Holt help Captain CJ with a big case.,"Captain ""CJ"" is having major problems with a big case, and Jake and Holt find the motivation to help him out. Inside the precinct, war ensues when Terry enforces a green initiative and tells Gina to get rid of her precious space heater, while Rosa and Boyle take a break from the night shift to visit a foot massage parlor.[1]
","Captain C.J. loses key evidence in a drug case, which delights Jake because it may get C.J. kicked off the day shift, allowing Holt and the crew to return. But Holt convinces Jake they have to find the evidence and help C.J. close the case, which gives Holt a clever path to hand C.J. the keys to driving his career out the 99th once and for all. Elsewhere, Terry is under orders to reduce power consumption at the Nine-Nine, and he battles Gina when she refuses to turn off her space heater. Also, Rosa learns of a secret place to which Charles likes to disappear in the wee hours of the night."
